experiment_id,seed,learning_rate,dp_clip,zo_eps,lora_r,lora_alpha,lora_target_modules,lora_num_layers,batch_size,max_steps,lr_scheduler_type,warmup_ratio,metric_name,metric_value,best_checkpoint_step,best_eval_loss,output_dir
lora-dpzero-explore-boundary-01-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.838,7500,0.36517924070358276,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-01-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-00-lr0.0001-clip10-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0001,10.0,0.003,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.8,6500,0.47769656777381897,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-00-lr0.0001-clip10-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-05-lr0.0002-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0002,10.0,0.006,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.682,1000,0.6184003353118896,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-05-lr0.0002-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-02-lr0.0001-clip20-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0001,20.0,0.003,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.68,2000,0.5875598788261414,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-02-lr0.0001-clip20-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-03-lr0.0001-clip20-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0001,20.0,0.006,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.668,2000,0.5930569767951965,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-03-lr0.0001-clip20-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-04-lr0.0002-clip10-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0002,10.0,0.003,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.664,1000,0.6522492170333862,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-04-lr0.0002-clip10-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-09-lr0.0003-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0003,10.0,0.006,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.646,500,0.7100082039833069,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-09-lr0.0003-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-08-lr0.0003-clip10-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0003,10.0,0.003,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.642,500,0.6824911832809448,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-08-lr0.0003-clip10-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-11-lr0.0003-clip20-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0003,20.0,0.006,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.592,4500,0.6738911271095276,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-11-lr0.0003-clip20-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-07-lr0.0002-clip20-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0002,20.0,0.006,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.576,4500,0.6894846558570862,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-07-lr0.0002-clip20-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-10-lr0.0003-clip20-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0003,20.0,0.003,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.572,6000,0.6755292415618896,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-10-lr0.0003-clip20-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
lora-dpzero-explore-boundary-06-lr0.0002-clip20-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0,0,0.0002,20.0,0.003,8,16,"q_proj,v_proj",-1,4,7500,constant,0.0,dev_accuracy,0.55,5500,0.6836567521095276,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/boundary/lora-dpzero-explore-boundary-06-lr0.0002-clip20-mu0.003-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps7500-seed0
